ID	ID_Nest	loc	dens	lining	fate	date_found	mayfield
1	21	Èakov S	2		0	29.3.2015	11
2	33	Žabovøesky SV	3		0	3.4.2015	12
3	35	Žabovøesky SV	3		0	3.4.2015	18
4	36	Žabovøesky SV	3		0	3.4.2015	14,5
5	37	Žabovøesky SV	3		1	3.4.2015	18,75
6	41	Dívèice SZ	3		1	4.4.2015	27
7	55	Køenovice SS	3		0	5.4.2015	17,5
8	57	Køenovice SS	3		1	5.4.2015	26
9	59	Køenovice SS	3		0	5.4.2015	10
10	64	Køenovice SS	3		2	5.4.2015	14,5
11	71	Jednoty	3		0	5.4.2015	17
12	72	Jednoty	3		0	5.4.2015	17
13	80	Jednoty	3		0	9.4.2015	13
14	83	Branišov JZ	3		1	10.4.2015	18
15	87	Branišov JZ	3		1	10.4.2015	25
16	89	Branišov JZ	3		1	10.4.2015	18
17	90	Branišov JZ	3		1	10.4.2015	17
18	93	Branišov JZ	3		2	10.4.2015	17
19	94	Branišov JZ	3		2	10.4.2015	16,5
20	95	Branišov JZ	3		0	10.4.2015	16,5
21	104	Dívèice SZ	2		1	12.4.2015	18
22	110	Vyšatov SS	3		0	12.4.2015	3,5
23	119	Blata støed	2		1	19.4.2015	7,5
24	120	husí pole	1		0	19.4.2015	14,5
25	124	Èejkovice S	2		1	20.4.2015	12
26	125	Èejkovice S	2		1	20.4.2015	8,5
27	128	Dubné V	2		1	24.4.2015	9
28	130	Dubné V	2		1	24.4.2015	13
29	131	Dubné V	2		1	24.4.2015	8,5
30	133	Køenovice SS	3		0	25.4.2015	7,5
31	135	Vyšatov SS	3		0	25.4.2015	11,5
32	138	Branišov JZ	2		1	25.4.2015	25
33	139	Branišov JZ	2		1	25.4.2015	19,33333333
34	141	Branišov JZ	2		0	25.4.2015	6,5
35	142	Dubné V	2		0	8.4.2015	23
36	147	Blatec SV	2		0	2.5.2015	13
37	152	Vyšatov SS	3		1	2.5.2015	16
38	153	Vyšatov SS	3		0	2.5.2015	12,5
39	155	Vyšatov SS	3		0	2.5.2015	10
40	158	MAPE	3		1	3.5.2015	23
41	161	MAPE	3		1	3.5.2015	17,25
42	165	MAPE	3		1	5.5.2015	18,75
43	166	Knížecí JV	2		1	2.5.2015	24
44	167	Knížecí JV	2		0	2.5.2015	16,5
45	169	Knížecí JV	2		0	3.5.2015	15,5
46	170	Vyšatov SS	1		1	8.5.2015	12
47	171	Blatec SV	2		1	9.5.2015	5,5
