id	id_pc	breast_video	obs
1	21_1	3	ms
2	33_2	4	ms
3	35_1	1	ms
4	36_2	2	ms
5	37_1	4	ms
6	40_2	1	ms
7	41_1	3	ms
8	55_2	5	ms
9	57_1	2	ms
10	59_2	1	ms
11	64_1	1	ms
12	71_1	2	ms
13	72_2	3	ms
14	80_1	3	ms
15	83_2	3	ms
16	87_1	3	ms
17	89_1	3	ms
18	90_1	4	ms
19	93_2	3	ms
20	94_1	3	ms
21	95_2	2	ms
22	104_1	5	ms
23	110_2	2	ms
24	119_1	4	ms
25	120_2	3	ms
26	124_1	2	ms
27	125_2	4	ms
28	128_1	3	ms
29	130_2	3	ms
30	131_1	5	ms
31	133_2	1	ms
32	135_1	2,5	ms
33	138_2	3	ms
34	139_1	5	ms
35	141_2	4	ms
36	142_1	4	ms
37	147_1	4	ms
38	152_2	4	ms
39	153_1	3	ms
40	155_2	5	ms
41	158_1	2	ms
42	161_2	3	ms
43	165_1	3	ms
44	166_2	4	ms
45	167_1	3,5	ms
46	169_2	3	ms
47	170_1	3	ms
48	171_1	3	ms
49	21_2	3	ms
50	33_1	5	ms
51	35_2	1	ms
52	36_1	2	ms
53	37_2	5	ms
54	40_1	1	ms
55	41_2	4	ms
56	55_1	5	ms
57	57_2	3	ms
58	59_1	1	ms
59	64_2	1	ms
60	71_2	3	ms
61	72_1	3	ms
62	80_2	3,5	ms
63	83_1	3	ms
64	87_2	4	ms
65	89_1	4	ms
66	89_2	4	ms
67	90_2	3,5	ms
68	93_1	3	ms
69	94_2	3	ms
70	95_1	2	ms
71	104_2	5	ms
72	110_1	3	ms
73	119_2	5	ms
74	120_1	4	ms
75	124_2	2	ms
76	125_1	5	ms
77	128_2	3,5	ms
78	130_1	3,5	ms
79	131_2	5	ms
80	133_1	2	ms
81	135_2	4	ms
82	138_1	3	ms
83	139_2	4	ms
84	141_1	5	ms
85	142_2	4	ms
86	147_2	4	ms
87	152_1	3,5	ms
88	153_2	2	ms
89	155_1	5	ms
90	158_2	1	ms
91	161_1	3	ms
92	165_2	3	ms
93	166_1	3	ms
94	167_2	3	ms
95	169_1	3,5	ms
96	170_2	3	ms
97	171_2	3	ms
98	21_1	4	vk
99	33_2		vk
100	35_1	1	vk
101	36_2	2	vk
102	37_1	4	vk
103	40_2	1	vk
104	41_1	3	vk
105	55_2	5	vk
106	57_1	2	vk
107	59_2	2	vk
108	64_1	1,5	vk
109	71_1	2	vk
110	72_2	4	vk
111	80_1	3	vk
112	83_2	4	vk
113	87_1	3	vk
114	89_1	3	vk
115	90_1	4	vk
116	93_2	4	vk
117	94_1	4	vk
118	95_2	3	vk
119	104_1	5	vk
120	110_2	4	vk
121	119_1	4	vk
122	120_2	4	vk
123	124_1	4	vk
124	125_2		vk
125	128_1	3	vk
126	130_2	4	vk
127	131_1	4	vk
128	133_2	2	vk
129	135_1	3	vk
