id_nest	locality	habitat	latitude	longitude	n_eggs	STI	length	width	length:1	width:1	length:2	width:2	length:3	width:3	sum_vol	mean_vol
1	Dívèice SZZ	2	49.110152972862124	14.293296961113811	4	85	48,4	33,1	49,6	33,4	51,6	33,6	49,3	32,5	99.93984978	24.98496244
2	Dívèice SZ	0	49.110425971448421	14.294318966567516	4	85	45,2	34	44,6	34,2	47,6	33,1	46,1	34	95.90591946	23.97647987
3	Vyšatov SS	0	48.998664021492004	14.366142991930246	4	85	49,3	33,6	46,4	33,8	48,2	33,2	47,7	33,4	98.25825567	24.56456392
4	Vyšatov SS	0	48.998481966555119	14.366231001913548	4	83.5	45	32,8	45,9	33,3	45,8	33,4	47,5	33,9	93.68087512	23.42021878
5	Machovec J	6	49.001400964334607	14.362825015559793	4	86.5	42,3	33,4	43	34	41,9	33,7	45,2	33,6	89.34834009	22.33708502
6	Jaronice SS	14	49.004171015694737	14.355586990714073	2	88	44	31,9	44,3	31,7					40.80620042	20.40310021
7	Jaronice SS	14	49.004009999334812	14.354786016047001	1	89	45,3	32,8							22.27214726	22.27214726
8	Jaronice SS	14	49.003331987187266	14.35435501858592	4	85	45,9	33,5	47,4	33,5	45,3	33,4	46,9	33,9	95.57640509	23.89410127
9	Olší V	0	49.089325033128262	14.301191037520766	3	89	46,5	33	46,8	33,4	46,8	33,4			70.86009661	23.6200322
10	Olší V	0	49.088169001042843	14.304039040580392	2	88	45,7	33,2	46,6	32,3					45.23828467	22.61914234
11	Olší V	0	49.089027978479862	14.299531001597643	1	89	48,7	33,1							24.3837866	24.3837866
12	Olší V	0	49.087642030790448	14.302109023556113	1	89	45,9	33,4							23.40032123	23.40032123
13	Olší V	0	49.087820984423161	14.300949973985553	3	87	48,3	33,5	50,1	33,7	48,4	34,7			77.4069799	25.80232663
14	Olší V	0	49.087412031367421	14.299692017957568	1	89	46	33,3							23.31108558	23.31108558
15	Blata JZ	3	49.076150022447109	14.297035960480571	4	88.5	47,4	32,5	46,5	33	48,9	32,7	48,2	32,5	93.18425642	23.2960641
16	Blata JZ	3	49.075828995555639	14.297682959586382	4	89.5	44,6	33	45	33,9	44,4	33	45,9	33,7	91.7489748	22.9372437
17	Volešek SSS	3	49.07348801381886	14.313344964757562	4	86	44	33,6	43,4	32,8	45,3	33	44,3	33,8	89.71252202	22.4281305
18	Køenovice SS	0	48.990094028413296	14.35753402300179	4	86	47	34,5	47,9	34,4	47,8	33,4	49,1	33,6	101.1708419	25.29271047
19	Køenovice SS	0	48.990176003426313	14.356742016971111	3	88	48,6	33,5	49,3	34,4	48,7	34,1			77.46599917	25.82199972
20	Èakov S	6	48.984301965683699	14.31430502794683	4	88	47,2	33,7	46,2	34,5	46	34,7	46,2	34,5	100.0701163	25.01752906
21	Èakov S	0	48.985663019120693	14.30994400754571	4	79.75	48,7	33,4	46,2	33,7	46,1	32,6	47,3	33	94.7359108	23.6839777
22	Èakov S	0	48.985510971397161	14.309714008122683	4	88	46,5	33,55	47,6	33,4	48,05	33,45	48,2	33,35	97.25579778	24.31394944
23	Køenovice SS	13	48.991097006946802	14.35674000531435	4	91.5	44,3	33,3	46,4	32,9	45,2	33,7	44,8	32,9	91.0219728	22.7554932
24	pole u dubu	6	48.989956984296441	14.417642997577786	4	91	47,7	32,8	48,9	33,1	48,8	32,7	48,1	32,7	95.28774379	23.82193595
25	pole u dubu	6	48.990182038396597	14.417177969589829	4	91	44,9	33,4	46	33,1	44,8	33,2	45,9	32,8	91.05638718	22.7640968
26	SHR pastviny	14	48.994282968342304	14.423014037311077	4	88	50	34	50,8	33,6	47	33,6	48,9	34,3	103.1643906	25.79109765
27	SHR pastviny	14	48.994008963927627	14.422689992934465	3	93	46,1	32,7	42,9	33	45,4	32,4			65.65786316	21.88595439
28	SHR pastviny	14	48.994162017479539	14.422023966908455	4	90.25	48,5	33,2	48,8	32,6	47,8	33	50	32,8	96.5035603	24.12589007
